Date,winner,loser,,
2001-12-29,Northeastern,New Hampshire,,
2001-12-29,Binghamton,Stony Brook,,
2001-12-31,Vermont,Albany (NY),,
2002-01-02,Hartford,Binghamton,,
2002-01-02,Maine,Albany (NY),,
2002-01-02,Boston University,New Hampshire,,
2002-01-02,Vermont,Stony Brook,,
2002-01-05,Vermont,Boston University,,
2002-01-05,Hartford,Northeastern,,
2002-01-06,Stony Brook,Maine,,
2002-01-07,Binghamton,Albany (NY),,
2002-01-07,Boston University,Hartford,,
2002-01-07,Vermont,Northeastern,,
2002-01-10,Boston University,Binghamton,,
2002-01-10,Northeastern,Stony Brook,,
2002-01-11,Vermont,Maine,,
2002-01-12,Boston University,Stony Brook,,
2002-01-12,New Hampshire,Hartford,,
2002-01-12,Binghamton,Northeastern,,
2002-01-13,Maine,Albany (NY),,
2002-01-14,Vermont,New Hampshire,,
2002-01-15,Stony Brook,Binghamton,,
2002-01-17,Hartford,Maine,,
2002-01-17,Vermont,Northeastern,,
2002-01-18,New Hampshire,Stony Brook,,
2002-01-20,Maine,Binghamton,,
2002-01-20,Hartford,Vermont,,
2002-01-20,New Hampshire,Albany (NY),,
2002-01-20,Boston University,Northeastern,,
2002-01-24,Boston University,Albany (NY),,
2002-01-24,Binghamton,Northeastern,,
2002-01-24,New Hampshire,Hartford,,
2002-01-24,Vermont,Stony Brook,,
2002-01-26,Albany (NY),Northeastern,,
2002-01-26,Boston University,Binghamton,,
2002-01-26,Hartford,Stony Brook,,
2002-01-27,Maine,New Hampshire,,
2002-01-29,Hartford,Boston University,,
2002-01-30,Albany (NY),New Hampshire,,
2002-01-31,Maine,Binghamton,,
2002-02-01,Northeastern,Hartford,,
2002-02-02,New Hampshire,Binghamton,,
2002-02-02,Albany (NY),Stony Brook,,
2002-02-02,Vermont,Boston University,,
2002-02-03,Maine,Northeastern,,
2002-02-05,Binghamton,Albany (NY),,
2002-02-05,Hartford,Maine,,
2002-02-05,New Hampshire,Northeastern,,
2002-02-08,Vermont,Binghamton,,
2002-02-08,Hartford,Albany (NY),,
2002-02-08,Boston University,Maine,,
2002-02-08,New Hampshire,Stony Brook,,
2002-02-10,Albany (NY),Vermont,,
2002-02-10,Boston University,New Hampshire,,
2002-02-10,Stony Brook,Maine,,
2002-02-12,Northeastern,Albany (NY),,
2002-02-13,Vermont,Binghamton,,
2002-02-14,Boston University,Northeastern,,
2002-02-14,New Hampshire,Maine,,
2002-02-15,Hartford,Stony Brook,,
2002-02-16,Boston University,Albany (NY),,
2002-02-17,Hartford,Binghamton,,
2002-02-17,Maine,Vermont,,
2002-02-17,Stony Brook,Northeastern,,
2002-02-21,Northeastern,Maine,,
2002-02-21,Boston University,Stony Brook,,
2002-02-22,Albany (NY),Hartford,,
2002-02-22,Vermont,New Hampshire,,
2002-02-24,Stony Brook,Albany (NY),,
2002-02-24,Binghamton,New Hampshire,,
2002-02-24,Boston University,Maine,,
2002-02-24,Vermont,Hartford,,
2002-03-02,Hartford,Albany (NY),,
2002-03-02,Maine,New Hampshire,,
2002-03-02,Boston University,Northeastern,,
2002-03-02,Vermont,Stony Brook,,
2002-03-03,Boston University,Hartford,,
2002-03-03,Maine,Vermont,,
2002-03-09,Boston University,Maine,,
2003-01-02,Vermont,Maine,,
2003-01-02,Binghamton,New Hampshire,,
2003-01-04,Boston University,Binghamton,,
2003-01-04,Hartford,New Hampshire,,
2003-01-04,Maine,Albany (NY),,
2003-01-05,Vermont,Stony Brook,,
2003-01-08,Boston University,Albany (NY),,
2003-01-08,New Hampshire,Maine,,
2003-01-08,Hartford,Stony Brook,,
2003-01-08,Vermont,Northeastern,,
2003-01-11,Albany (NY),New Hampshire,,
2003-01-11,Binghamton,Stony Brook,,
2003-01-11,Boston University,Vermont,,
2003-01-11,Hartford,Northeastern,,
2003-01-15,Vermont,Albany (NY),,
2003-01-15,Binghamton,Hartford,,
2003-01-15,Boston University,Stony Brook,,
2003-01-15,Maine,Northeastern,,
2003-01-18,Boston University,Hartford,,
2003-01-18,Maine,Binghamton,,
2003-01-18,Northeastern,New Hampshire,,
2003-01-19,Stony Brook,Albany (NY),,
2003-01-21,Binghamton,Albany (NY),,
2003-01-22,Boston University,New Hampshire,,
2003-01-22,Stony Brook,Northeastern,,
2003-01-22,Vermont,Maine,,
2003-01-25,Northeastern,Boston University,,
2003-01-25,Hartford,Vermont,,
2003-01-26,Binghamton,New Hampshire,,
2003-01-26,Stony Brook,Maine,,
2003-01-29,Hartford,Albany (NY),,
2003-01-29,Boston University,Maine,,
2003-01-29,Vermont,New Hampshire,,
2003-01-29,Northeastern,Binghamton,,
2003-01-31,Northeastern,Hartford,,
2003-02-02,Northeastern,Albany (NY),,
2003-02-02,Binghamton,Vermont,,
2003-02-02,Maine,Hartford,,
2003-02-02,Stony Brook,New Hampshire,,
2003-02-05,Boston University,Albany (NY),,
2003-02-05,Maine,New Hampshire,,
2003-02-05,Stony Brook,Northeastern,,
2003-02-06,Hartford,Binghamton,,
2003-02-08,Maine,Albany (NY),,
2003-02-08,Northeastern,New Hampshire,,
2003-02-08,Vermont,Stony Brook,,
2003-02-09,Boston University,Binghamton,,
2003-02-11,Stony Brook,Boston University,,
2003-02-12,Maine,Northeastern,,
2003-02-12,New Hampshire,Hartford,,
2003-02-12,Vermont,Binghamton,,
2003-02-14,Albany (NY),Stony Brook,,
2003-02-15,Binghamton,Maine,,
2003-02-15,Boston University,Hartford,,
2003-02-15,Northeastern,Vermont,,
2003-02-16,Albany (NY),New Hampshire,,
2003-02-19,Boston University,Maine,,
2003-02-19,Hartford,Stony Brook,,
2003-02-19,Vermont,New Hampshire,,
2003-02-20,Binghamton,Albany (NY),,
2003-02-22,Hartford,Albany (NY),,
2003-02-22,Vermont,Boston University,,
2003-02-23,Binghamton,Northeastern,,
2003-02-23,Maine,Stony Brook,,
2003-02-26,Boston University,New Hampshire,,
2003-02-26,Hartford,Vermont,,
2003-02-26,Northeastern,Albany (NY),,
2003-02-26,Stony Brook,Binghamton,,
2003-03-02,Hartford,Maine,,
2003-03-02,Boston University,Northeastern,,
2003-03-02,New Hampshire,Stony Brook,,
2003-03-02,Vermont,Albany (NY),,
2003-03-09,Vermont,Albany (NY),,
2003-03-09,Boston University,New Hampshire,,
2003-03-09,Northeastern,Maine,,
2003-03-09,Hartford,Stony Brook,,
2003-03-10,Vermont,Hartford,,
2003-03-10,Boston University,Northeastern,,
2003-03-15,Vermont,Boston University,,
2004-01-02,Maryland-Baltimore County,Albany (NY),,
2004-01-02,Vermont,Binghamton,,
2004-01-02,Boston University,New Hampshire,,
2004-01-02,Maine,Hartford,,
2004-01-02,Northeastern,Stony Brook,,
2004-01-04,Boston University,Albany (NY),,
2004-01-04,Maine,Stony Brook,,
2004-01-04,Vermont,Maryland-Baltimore County,,
2004-01-04,Northeastern,New Hampshire,,
2004-01-07,Binghamton,Maine,,
2004-01-07,Boston University,Hartford,,
2004-01-07,Stony Brook,Maryland-Baltimore County,,
2004-01-07,Vermont,Northeastern,,
2004-01-08,Albany (NY),New Hampshire,,
2004-01-10,Boston University,Binghamton,,
2004-01-10,Maryland-Baltimore County,Hartford,,
2004-01-11,Vermont,Maine,,
2004-01-11,Northeastern,Albany (NY),,
2004-01-11,Stony Brook,New Hampshire,,
2004-01-14,Binghamton,Albany (NY),,
2004-01-14,Boston University,Maryland-Baltimore County,,
2004-01-14,Maine,New Hampshire,,
2004-01-14,Northeastern,Hartford,,
2004-01-14,Vermont,Stony Brook,,
2004-01-17,New Hampshire,Binghamton,,
2004-01-17,Vermont,Boston University,,
2004-01-17,Hartford,Stony Brook,,
2004-01-17,Northeastern,Maryland-Baltimore County,,
2004-01-18,Maine,Albany (NY),,
2004-01-19,Hartford,Binghamton,,
2004-01-21,Boston University,Maine,,
2004-01-21,Maryland-Baltimore County,New Hampshire,,
2004-01-21,Binghamton,Northeastern,,
2004-01-21,Stony Brook,Albany (NY),,
2004-01-24,Maine,Maryland-Baltimore County,,
2004-01-24,Boston University,Northeastern,,
2004-01-24,Vermont,New Hampshire,,
2004-01-25,Binghamton,Stony Brook,,
2004-01-25,Hartford,Albany (NY),,
2004-01-28,Vermont,Albany (NY),,
2004-01-28,Northeastern,Maine,,
2004-01-28,Binghamton,Maryland-Baltimore County,,
2004-01-28,Hartford,New Hampshire,,
2004-01-28,Boston University,Stony Brook,,
2004-01-31,Binghamton,Hartford,,
2004-01-31,Northeastern,New Hampshire,,
2004-01-31,Maine,Stony Brook,,
2004-01-31,Vermont,Maryland-Baltimore County,,
2004-02-01,Boston University,Albany (NY),,
2004-02-04,Maine,Hartford,,
2004-02-04,Albany (NY),Maryland-Baltimore County,,
2004-02-04,Boston University,New Hampshire,,
2004-02-05,Northeastern,Stony Brook,,
2004-02-05,Vermont,Binghamton,,
2004-02-07,New Hampshire,Albany (NY),,
2004-02-07,Boston University,Hartford,,
2004-02-08,Maine,Binghamton,,
2004-02-08,Maryland-Baltimore County,Stony Brook,,
2004-02-08,Vermont,Northeastern,,
2004-02-11,Binghamton,Albany (NY),,
2004-02-11,Northeastern,Hartford,,
2004-02-11,Maine,New Hampshire,,
2004-02-11,Vermont,Stony Brook,,
2004-02-12,Boston University,Maryland-Baltimore County,,
2004-02-14,Maine,Albany (NY),,
2004-02-14,Binghamton,New Hampshire,,
2004-02-14,Northeastern,Maryland-Baltimore County,,
2004-02-14,Stony Brook,Hartford,,
2004-02-15,Boston University,Vermont,,
2004-02-18,Stony Brook,Albany (NY),,
2004-02-18,Northeastern,Binghamton,,
2004-02-18,Vermont,Hartford,,
2004-02-18,Boston University,Maine,,
2004-02-18,New Hampshire,Maryland-Baltimore County,,
2004-02-21,Albany (NY),Hartford,,
2004-02-21,Maine,Maryland-Baltimore County,,
2004-02-21,New Hampshire,Vermont,,
2004-02-22,Boston University,Northeastern,,
2004-02-22,Binghamton,Stony Brook,,
2004-02-23,Vermont,Hartford,,
2004-02-25,Binghamton,Maryland-Baltimore County,,
2004-02-26,Boston University,Stony Brook,,
2004-02-26,Hartford,New Hampshire,,
2004-02-26,Northeastern,Maine,,
2004-02-26,Vermont,Albany (NY),,
2004-02-29,Northeastern,Albany (NY),,
2004-02-29,Boston University,Binghamton,,
2004-02-29,Hartford,Maryland-Baltimore County,,
2004-02-29,New Hampshire,Stony Brook,,
2004-02-29,Maine,Vermont,,
2004-03-05,New Hampshire,Albany (NY),,
2004-03-05,Stony Brook,Maryland-Baltimore County,,
2004-03-06,Maine,Binghamton,,
2004-03-06,Stony Brook,Boston University,,
2004-03-06,Vermont,New Hampshire,,
2004-03-06,Hartford,Northeastern,,
2004-03-07,Vermont,Hartford,,
2004-03-07,Maine,Stony Brook,,
2004-03-13,Vermont,Maine,,
2004-12-04,Boston University,New Hampshire,,
2004-12-09,Maine,Maryland-Baltimore County,,
2004-12-18,Albany (NY),Hartford,,
2004-12-19,Vermont,Binghamton,,
2004-12-21,Northeastern,Stony Brook,,
2005-01-02,Boston University,Albany (NY),,
2005-01-02,Maine,Stony Brook,,
2005-01-02,New Hampshire,Maryland-Baltimore County,,
2005-01-02,Northeastern,Binghamton,,
2005-01-02,Vermont,Hartford,,
2005-01-05,Maryland-Baltimore County,Stony Brook,,
2005-01-05,Vermont,Northeastern,,
2005-01-06,Binghamton,Maine,,
2005-01-06,Boston University,Hartford,,
2005-01-06,Albany (NY),New Hampshire,,
2005-01-08,Hartford,Maryland-Baltimore County,,
2005-01-08,Vermont,Maine,,
2005-01-09,Northeastern,Albany (NY),,
2005-01-09,Boston University,Binghamton,,
2005-01-09,Stony Brook,New Hampshire,,
2005-01-12,Albany (NY),Binghamton,,
2005-01-12,Northeastern,Hartford,,
2005-01-12,Vermont,Stony Brook,,
2005-01-13,Boston University,Maryland-Baltimore County,,
2005-01-13,Maine,New Hampshire,,
2005-01-15,Northeastern,Maryland-Baltimore County,,
2005-01-15,Stony Brook,Hartford,,
2005-01-16,New Hampshire,Binghamton,,
2005-01-16,Albany (NY),Maine,,
2005-01-16,Vermont,Boston University,,
2005-01-19,Binghamton,Stony Brook,,
2005-01-19,Hartford,Maine,,
2005-01-19,Maryland-Baltimore County,Albany (NY),,
2005-01-19,Vermont,New Hampshire,,
2005-01-19,Northeastern,Boston University,,
2005-01-22,Maryland-Baltimore County,Binghamton,,
2005-01-22,Boston University,Stony Brook,,
2005-01-22,Vermont,Albany (NY),,
2005-01-23,Hartford,New Hampshire,,
2005-01-23,Maine,Northeastern,,
2005-01-26,Boston University,New Hampshire,,
2005-01-26,Northeastern,Stony Brook,,
2005-01-27,Albany (NY),Hartford,,
2005-01-27,Vermont,Binghamton,,
2005-01-27,Maryland-Baltimore County,Maine,,
2005-01-29,New Hampshire,Maryland-Baltimore County,,
2005-01-30,Northeastern,Binghamton,,
2005-01-30,Boston University,Albany (NY),,
2005-01-30,Vermont,Hartford,,
2005-01-30,Maine,Stony Brook,,
2005-02-02,Albany (NY),Stony Brook,,
2005-02-02,Binghamton,Hartford,,
2005-02-02,Boston University,Maine,,
2005-02-02,Vermont,Maryland-Baltimore County,,
2005-02-02,Northeastern,New Hampshire,,
2005-02-05,Albany (NY),New Hampshire,,
2005-02-05,Boston University,Hartford,,
2005-02-05,Stony Brook,Maryland-Baltimore County,,
2005-02-05,Vermont,Northeastern,,
2005-02-06,Binghamton,Maine,,
2005-02-09,Binghamton,Albany (NY),,
2005-02-09,Maine,New Hampshire,,
2005-02-09,Boston University,Maryland-Baltimore County,,
2005-02-09,Northeastern,Hartford,,
2005-02-09,Vermont,Stony Brook,,
2005-02-12,Albany (NY),Maine,,
2005-02-12,Boston University,Vermont,,
2005-02-12,Stony Brook,Hartford,,
2005-02-12,Northeastern,Maryland-Baltimore County,,
2005-02-13,Binghamton,New Hampshire,,
2005-02-16,Vermont,Albany (NY),,
2005-02-16,Binghamton,Maryland-Baltimore County,,
2005-02-16,Boston University,Stony Brook,,
2005-02-16,Northeastern,Maine,,
2005-02-17,New Hampshire,Hartford,,
2005-02-19,Albany (NY),Maryland-Baltimore County,,
2005-02-19,Maine,Hartford,,
2005-02-19,Stony Brook,Binghamton,,
2005-02-20,Northeastern,Boston University,,
2005-02-21,Vermont,New Hampshire,,
2005-02-24,Boston University,Maine,,
2005-02-24,Hartford,Binghamton,,
2005-02-24,Northeastern,New Hampshire,,
2005-02-24,Stony Brook,Albany (NY),,
2005-02-24,Vermont,Maryland-Baltimore County,,
2005-02-27,Binghamton,Boston University,,
2005-02-27,Maine,Vermont,,
2005-02-27,Maryland-Baltimore County,Hartford,,
2005-02-27,New Hampshire,Stony Brook,,
2005-02-27,Northeastern,Albany (NY),,
2005-03-04,Stony Brook,Hartford,,
2005-03-04,Maryland-Baltimore County,New Hampshire,,
2005-03-05,Binghamton,Albany (NY),,
2005-03-05,Maine,Boston University,,
2005-03-05,Vermont,Maryland-Baltimore County,,
2005-03-05,Northeastern,Stony Brook,,
2005-03-06,Vermont,Binghamton,,
2005-03-06,Northeastern,Maine,,
2005-03-12,Vermont,Northeastern,,
2005-12-03,Hartford,Maine,,
2005-12-08,Boston University,New Hampshire,,
2005-12-10,Boston University,Maine,,
2005-12-10,Maryland-Baltimore County,Stony Brook,,
2005-12-10,Vermont,New Hampshire,,
2005-12-20,Albany (NY),Binghamton,,
2005-12-23,Albany (NY),Stony Brook,,
2006-01-04,Albany (NY),Hartford,,
2006-01-05,Maryland-Baltimore County,Boston University,,
2006-01-05,Binghamton,New Hampshire,,
2006-01-05,Stony Brook,Vermont,,
2006-01-07,Albany (NY),Maine,,
2006-01-08,Binghamton,Stony Brook,,
2006-01-08,New Hampshire,Hartford,,
2006-01-08,Vermont,Maryland-Baltimore County,,
2006-01-11,New Hampshire,Maryland-Baltimore County,,
2006-01-12,Albany (NY),Boston University,,
2006-01-12,Vermont,Hartford,,
2006-01-12,Binghamton,Maine,,
2006-01-14,New Hampshire,Stony Brook,,
2006-01-15,Binghamton,Boston University,,
2006-01-15,Maine,Vermont,,
2006-01-15,Hartford,Maryland-Baltimore County,,
2006-01-18,Vermont,Albany (NY),,
2006-01-19,Binghamton,Hartford,,
2006-01-19,Maine,New Hampshire,,
2006-01-19,Boston University,Stony Brook,,
2006-01-22,New Hampshire,Albany (NY),,
2006-01-22,Boston University,Vermont,,
2006-01-22,Hartford,Stony Brook,,
2006-01-22,Maryland-Baltimore County,Maine,,
2006-01-25,Albany (NY),Maryland-Baltimore County,,
2006-01-25,Binghamton,Vermont,,
2006-01-25,Boston University,Hartford,,
2006-01-25,Maine,Stony Brook,,
2006-01-28,Albany (NY),Binghamton,,
2006-01-28,Vermont,New Hampshire,,
2006-01-28,Stony Brook,Maryland-Baltimore County,,
2006-01-29,Maine,Boston University,,
2006-02-01,Albany (NY),Stony Brook,,
2006-02-01,New Hampshire,Boston University,,
2006-02-02,Hartford,Maine,,
2006-02-02,Maryland-Baltimore County,Binghamton,,
2006-02-04,Albany (NY),Boston University,,
2006-02-04,Hartford,Vermont,,
2006-02-05,Binghamton,Maine,,
2006-02-05,New Hampshire,Maryland-Baltimore County,,
2006-02-08,Binghamton,New Hampshire,,
2006-02-08,Boston University,Maryland-Baltimore County,,
2006-02-08,Albany (NY),Hartford,,
2006-02-08,Vermont,Stony Brook,,
2006-02-11,Hartford,New Hampshire,,
2006-02-11,Albany (NY),Maine,,
2006-02-11,Maryland-Baltimore County,Vermont,,
2006-02-11,Binghamton,Stony Brook,,
2006-02-14,Binghamton,Boston University,,
2006-02-15,Hartford,Maryland-Baltimore County,,
2006-02-15,New Hampshire,Stony Brook,,
2006-02-15,Vermont,Maine,,
2006-02-18,Hartford,Binghamton,,
2006-02-19,Boston University,Stony Brook,,
2006-02-19,Maine,New Hampshire,,
2006-02-20,Albany (NY),Vermont,,
2006-02-20,Binghamton,Maryland-Baltimore County,,
2006-02-23,Maine,Maryland-Baltimore County,,
2006-02-23,New Hampshire,Albany (NY),,
2006-02-23,Hartford,Stony Brook,,
2006-02-23,Boston University,Vermont,,
2006-02-26,Boston University,Hartford,,
2006-02-26,Albany (NY),Maryland-Baltimore County,,
2006-02-26,Maine,Stony Brook,,
2006-02-26,Binghamton,Vermont,,
2006-03-03,Maryland-Baltimore County,Stony Brook,,
2006-03-04,Binghamton,Maine,,
2006-03-04,Vermont,Boston University,,
2006-03-04,New Hampshire,Hartford,,
2006-03-04,Albany (NY),Maryland-Baltimore County,,
2006-03-05,Vermont,Binghamton,,
2006-03-05,Albany (NY),New Hampshire,,
2006-03-11,Albany (NY),Vermont,,
2007-01-03,Albany (NY),New Hampshire,,
2007-01-03,Maryland-Baltimore County,Binghamton,,
2007-01-03,Hartford,Maine,,
2007-01-03,Vermont,Stony Brook,,
2007-01-06,Binghamton,Albany (NY),,
2007-01-06,Hartford,Boston University,,
2007-01-06,New Hampshire,Maine,,
2007-01-06,Maryland-Baltimore County,Stony Brook,,
2007-01-09,Boston University,Maine,,
