Date,winner,loser,,
2012-02-01,Stony Brook,Binghamton,,
2012-02-04,Stony Brook,Albany (NY),,
2012-02-04,Boston University,Binghamton,,
2012-02-04,Maine,Maryland-Baltimore County,,
2012-02-04,Vermont,Hartford,,
2012-02-06,Boston University,Albany (NY),,
2012-02-06,Vermont,Maine,,
2012-02-06,Stony Brook,New Hampshire,,
2012-02-07,Hartford,Maryland-Baltimore County,,
2012-02-09,Boston University,Maine,,
2012-02-09,New Hampshire,Albany (NY),,
2012-02-09,Stony Brook,Maryland-Baltimore County,,
2012-02-11,Albany (NY),Maine,,
2012-02-12,Hartford,Binghamton,,
2012-02-12,New Hampshire,Maryland-Baltimore County,,
2012-02-12,Vermont,Stony Brook,,
2012-02-15,Vermont,Albany (NY),,
2012-02-15,Maryland-Baltimore County,Binghamton,,
2012-02-15,New Hampshire,Boston University,,
2012-02-15,Hartford,Maine,,
2012-02-21,Binghamton,Vermont,,
2012-02-21,Stony Brook,Hartford,,
2012-02-22,Maine,New Hampshire,,
2012-02-22,Boston University,Maryland-Baltimore County,,
2012-02-23,Albany (NY),Binghamton,,
2012-02-25,Boston University,Hartford,,
2012-02-25,Vermont,Maryland-Baltimore County,,
2012-02-26,New Hampshire,Binghamton,,
2012-02-26,Stony Brook,Maine,,
2012-03-01,Binghamton,Maryland-Baltimore County,,
2012-03-03,Albany (NY),New Hampshire,,
2012-03-03,Stony Brook,Binghamton,,
2012-03-03,Hartford,Boston University,,
2012-03-03,Vermont,Maine,,
2012-03-04,Stony Brook,Albany (NY),,
2012-03-04,Vermont,Hartford,,
2012-03-10,Vermont,Stony Brook,,
2013-01-02,Albany (NY),Maryland-Baltimore County,,
2013-01-02,Hartford,Binghamton,,
2013-01-02,Maine,Boston University,,
2013-01-02,Vermont,New Hampshire,,
2013-01-05,Hartford,Boston University,,
2013-01-05,Maine,Maryland-Baltimore County,,
2013-01-05,Stony Brook,New Hampshire,,
2013-01-05,Vermont,Albany (NY),,
2013-01-07,Albany (NY),Binghamton,,
2013-01-08,Boston University,Vermont,,
2013-01-09,Stony Brook,Binghamton,,
2013-01-09,Hartford,Maine,,
2013-01-09,Maryland-Baltimore County,New Hampshire,,
2013-01-12,Albany (NY),Maine,,
2013-01-12,Boston University,Binghamton,,
2013-01-12,Stony Brook,Hartford,,
2013-01-12,Vermont,Maryland-Baltimore County,,
2013-01-15,Stony Brook,Boston University,,
2013-01-16,Maryland-Baltimore County,Hartford,,
2013-01-16,Albany (NY),New Hampshire,,
2013-01-16,Vermont,Binghamton,,
2013-01-18,Vermont,Stony Brook,,
2013-01-19,Albany (NY),Hartford,,
2013-01-19,Binghamton,Maine,,
2013-01-19,Boston University,New Hampshire,,
2013-01-22,Maine,Vermont,,
2013-01-23,Boston University,Albany (NY),,
2013-01-23,Stony Brook,Maryland-Baltimore County,,
2013-01-24,Hartford,New Hampshire,,
2013-01-26,Vermont,Albany (NY),,
2013-01-26,New Hampshire,Binghamton,,
2013-01-26,Boston University,Maryland-Baltimore County,,
2013-01-26,Stony Brook,Maine,,
2013-01-29,Stony Brook,Albany (NY),,
2013-01-30,Maryland-Baltimore County,Binghamton,,
2013-01-30,Vermont,Hartford,,
2013-01-30,New Hampshire,Maine,,
2013-02-02,Albany (NY),Binghamton,,
2013-02-02,Hartford,Boston University,,
2013-02-02,Maryland-Baltimore County,Maine,,
2013-02-02,Stony Brook,New Hampshire,,
2013-02-05,Boston University,Maine,,
2013-02-06,Hartford,Binghamton,,
2013-02-06,Albany (NY),Maryland-Baltimore County,,
2013-02-06,Vermont,New Hampshire,,
2013-02-09,Boston University,Binghamton,,
2013-02-09,Maine,Albany (NY),,
2013-02-09,Vermont,Maryland-Baltimore County,,
2013-02-10,Hartford,Stony Brook,,
2013-02-12,Stony Brook,Binghamton,,
2013-02-12,Boston University,Vermont,,
2013-02-13,Maine,Hartford,,
2013-02-13,New Hampshire,Maryland-Baltimore County,,
2013-02-15,Stony Brook,Vermont,,
2013-02-16,Albany (NY),Hartford,,
2013-02-16,Maine,Binghamton,,
2013-02-17,Boston University,New Hampshire,,
2013-02-19,Stony Brook,Maryland-Baltimore County,,
2013-02-20,Boston University,Albany (NY),,
2013-02-20,Hartford,New Hampshire,,
2013-02-20,Vermont,Maine,,
2013-02-23,Boston University,Maryland-Baltimore County,,
2013-02-23,New Hampshire,Binghamton,,
2013-02-24,Stony Brook,Maine,,
2013-02-28,Albany (NY),New Hampshire,,
2013-02-28,Vermont,Binghamton,,
2013-02-28,Stony Brook,Boston University,,
2013-02-28,Hartford,Maryland-Baltimore County,,
2013-03-03,Maryland-Baltimore County,Binghamton,,
2013-03-03,New Hampshire,Maine,,
2013-03-03,Stony Brook,Albany (NY),,
2013-03-03,Hartford,Vermont,,
2013-03-09,Albany (NY),Maine,,
2013-03-09,Stony Brook,Binghamton,,
2013-03-09,Maryland-Baltimore County,Hartford,,
2013-03-09,Vermont,New Hampshire,,
2013-03-10,Albany (NY),Stony Brook,,
2013-03-10,Vermont,Maryland-Baltimore County,,
2013-03-16,Albany (NY),Vermont,,
2013-12-15,Stony Brook,New Hampshire,,
2013-12-18,Vermont,Massachusetts-Lowell,,
2014-01-04,Albany (NY),Hartford,,
2014-01-05,Maine,Binghamton,,
2014-01-05,Massachusetts-Lowell,Maryland-Baltimore County,,
2014-01-08,Albany (NY),Maryland-Baltimore County,,
2014-01-09,Binghamton,New Hampshire,,
2014-01-09,Hartford,Maine,,
2014-01-11,Massachusetts-Lowell,Binghamton,,
2014-01-11,Maryland-Baltimore County,Maine,,
2014-01-11,Vermont,Albany (NY),,
2014-01-12,Stony Brook,Hartford,,
2014-01-15,Massachusetts-Lowell,Albany (NY),,
2014-01-15,New Hampshire,Maryland-Baltimore County,,
2014-01-15,Stony Brook,Binghamton,,
2014-01-16,Vermont,Maine,,
2014-01-18,Albany (NY),Maine,,
2014-01-18,Vermont,Maryland-Baltimore County,,
2014-01-18,Hartford,New Hampshire,,
2014-01-18,Stony Brook,Massachusetts-Lowell,,
2014-01-20,Albany (NY),Binghamton,,
2014-01-20,Hartford,Massachusetts-Lowell,,
2014-01-20,Stony Brook,Maryland-Baltimore County,,
2014-01-20,Vermont,New Hampshire,,
2014-01-23,Hartford,Binghamton,,
2014-01-23,Massachusetts-Lowell,Maine,,
2014-01-23,New Hampshire,Albany (NY),,
2014-01-24,Stony Brook,Vermont,,
2014-01-25,Maryland-Baltimore County,Hartford,,
2014-01-26,New Hampshire,Massachusetts-Lowell,,
2014-01-26,Stony Brook,Maine,,
2014-01-26,Vermont,Binghamton,,
2014-01-29,Albany (NY),Stony Brook,,
2014-01-29,Maryland-Baltimore County,Binghamton,,
2014-01-29,Vermont,Hartford,,
2014-01-29,Maine,New Hampshire,,
2014-02-01,Vermont,Albany (NY),,
2014-02-01,Maine,Maryland-Baltimore County,,
2014-02-01,Massachusetts-Lowell,Binghamton,,
2014-02-01,Stony Brook,Hartford,,
2014-02-04,Stony Brook,Binghamton,,
2014-02-04,Vermont,Maine,,
2014-02-05,Albany (NY),Massachusetts-Lowell,,
2014-02-05,Maryland-Baltimore County,New Hampshire,,
2014-02-08,Binghamton,Maine,,
2014-02-08,Hartford,Albany (NY),,
2014-02-08,Massachusetts-Lowell,Maryland-Baltimore County,,
2014-02-08,New Hampshire,Stony Brook,,
2014-02-12,Hartford,Maine,,
2014-02-12,Maryland-Baltimore County,Albany (NY),,
2014-02-12,Binghamton,New Hampshire,,
2014-02-12,Vermont,Massachusetts-Lowell,,
2014-02-15,Albany (NY),Maine,,
2014-02-15,Hartford,New Hampshire,,
2014-02-15,Stony Brook,Massachusetts-Lowell,,
2014-02-15,Vermont,Maryland-Baltimore County,,
2014-02-19,Albany (NY),Binghamton,,
2014-02-19,Hartford,Massachusetts-Lowell,,
2014-02-19,Vermont,New Hampshire,,
2014-02-19,Stony Brook,Maryland-Baltimore County,,
2014-02-22,Binghamton,Maryland-Baltimore County,,
2014-02-22,Massachusetts-Lowell,New Hampshire,,
2014-02-23,Stony Brook,Maine,,
2014-02-23,Vermont,Hartford,,
2014-02-27,Albany (NY),New Hampshire,,
2014-02-27,Hartford,Binghamton,,
2014-02-27,Massachusetts-Lowell,Maine,,
2014-02-27,Vermont,Stony Brook,,
2014-03-02,Vermont,Binghamton,,
2014-03-02,Hartford,Maryland-Baltimore County,,
2014-03-02,Maine,New Hampshire,,
2014-03-02,Stony Brook,Albany (NY),,
2014-03-08,Albany (NY),Maryland-Baltimore County,,
2014-03-08,Hartford,Binghamton,,
2014-03-08,Stony Brook,Maine,,
2014-03-08,Vermont,New Hampshire,,
2014-03-09,Albany (NY),Vermont,,
2014-03-09,Stony Brook,Hartford,,
2014-03-15,Albany (NY),Stony Brook,,
2014-12-03,Vermont,Hartford,,
2015-01-02,Massachusetts-Lowell,Binghamton,,
2015-01-03,Albany (NY),Maine,,
2015-01-03,Stony Brook,New Hampshire,,
2015-01-06,Albany (NY),New Hampshire,,
2015-01-07,Hartford,Binghamton,,
2015-01-07,Vermont,Maine,,
2015-01-07,Massachusetts-Lowell,Maryland-Baltimore County,,
2015-01-10,Binghamton,Maine,,
2015-01-10,Albany (NY),Massachusetts-Lowell,,
2015-01-10,Vermont,Stony Brook,,
2015-01-11,New Hampshire,Maryland-Baltimore County,,
2015-01-13,Massachusetts-Lowell,Maine,,
2015-01-14,Albany (NY),Binghamton,,
2015-01-14,Hartford,New Hampshire,,
2015-01-14,Stony Brook,Maryland-Baltimore County,,
2015-01-17,New Hampshire,Binghamton,,
2015-01-17,Hartford,Massachusetts-Lowell,,
2015-01-17,Stony Brook,Maine,,
2015-01-17,Vermont,Maryland-Baltimore County,,
2015-01-19,Hartford,Maryland-Baltimore County,,
2015-01-19,New Hampshire,Massachusetts-Lowell,,
2015-01-19,Albany (NY),Stony Brook,,
2015-01-19,Vermont,Binghamton,,
2015-01-22,Albany (NY),Hartford,,
2015-01-22,Maryland-Baltimore County,Maine,,
2015-01-22,Stony Brook,Massachusetts-Lowell,,
2015-01-22,New Hampshire,Vermont,,
2015-01-25,Albany (NY),Maryland-Baltimore County,,
2015-01-25,Stony Brook,Binghamton,,
2015-01-25,Maine,Hartford,,
2015-01-25,Vermont,Massachusetts-Lowell,,
2015-01-28,New Hampshire,Maine,,
2015-01-28,Binghamton,Maryland-Baltimore County,,
2015-01-28,Stony Brook,Hartford,,
2015-01-28,Albany (NY),Vermont,,
2015-01-31,Binghamton,Massachusetts-Lowell,,
2015-01-31,Vermont,Hartford,,
2015-01-31,Albany (NY),Maine,,
2015-01-31,New Hampshire,Stony Brook,,
2015-02-03,Hartford,Binghamton,,
2015-02-03,Vermont,Maine,,
2015-02-04,Albany (NY),New Hampshire,,
2015-02-05,Massachusetts-Lowell,Maryland-Baltimore County,,
2015-02-07,Albany (NY),Massachusetts-Lowell,,
2015-02-07,Maine,Binghamton,,
2015-02-07,New Hampshire,Maryland-Baltimore County,,
2015-02-07,Vermont,Stony Brook,,
2015-02-10,Albany (NY),Binghamton,,
2015-02-10,New Hampshire,Hartford,,
2015-02-11,Stony Brook,Maryland-Baltimore County,,
2015-02-11,Vermont,Massachusetts-Lowell,,
2015-02-14,Massachusetts-Lowell,Hartford,,
2015-02-14,New Hampshire,Binghamton,,
2015-02-14,Stony Brook,Maine,,
2015-02-14,Vermont,Maryland-Baltimore County,,
2015-02-17,Stony Brook,Albany (NY),,
2015-02-17,Hartford,Maryland-Baltimore County,,
2015-02-18,Binghamton,Vermont,,
2015-02-18,Massachusetts-Lowell,Maine,,
2015-02-20,Albany (NY),Hartford,,
2015-02-21,Maryland-Baltimore County,Maine,,
2015-02-21,New Hampshire,Massachusetts-Lowell,,
2015-02-21,Stony Brook,Binghamton,,
2015-02-25,Hartford,Maine,,
2015-02-25,Albany (NY),Maryland-Baltimore County,,
2015-02-25,Stony Brook,Massachusetts-Lowell,,
2015-02-25,Vermont,New Hampshire,,
2015-02-28,Albany (NY),Vermont,,
2015-02-28,Binghamton,Maryland-Baltimore County,,
2015-02-28,Stony Brook,Hartford,,
2015-02-28,New Hampshire,Maine,,
2015-03-04,Albany (NY),Maine,,
2015-03-04,New Hampshire,Hartford,,
2015-03-04,Stony Brook,Binghamton,,
2015-03-04,Vermont,Maryland-Baltimore County,,
2015-03-08,Albany (NY),New Hampshire,,
2015-03-08,Stony Brook,Vermont,,
2015-03-14,Albany (NY),Stony Brook,,
2016-01-06,Albany (NY),Maryland-Baltimore County,,
2016-01-06,Stony Brook,Binghamton,,
2016-01-06,Vermont,Maine,,
2016-01-06,Massachusetts-Lowell,Hartford,,
2016-01-09,Maryland-Baltimore County,Maine,,
2016-01-09,New Hampshire,Binghamton,,
2016-01-09,Stony Brook,Massachusetts-Lowell,,
2016-01-09,Albany (NY),Vermont,,
2016-01-12,Albany (NY),New Hampshire,,
2016-01-13,Hartford,Binghamton,,
2016-01-13,Maine,Massachusetts-Lowell,,
2016-01-13,Stony Brook,Maryland-Baltimore County,,
2016-01-15,Maine,Albany (NY),,
2016-01-16,Vermont,Hartford,,
2016-01-16,Massachusetts-Lowell,Maryland-Baltimore County,,
2016-01-16,Stony Brook,New Hampshire,,
2016-01-18,Albany (NY),Binghamton,,
2016-01-18,Stony Brook,Hartford,,
2016-01-18,New Hampshire,Maine,,
2016-01-18,Massachusetts-Lowell,Vermont,,
2016-01-21,Vermont,Binghamton,,
2016-01-21,Hartford,Maryland-Baltimore County,,
2016-01-21,New Hampshire,Massachusetts-Lowell,,
2016-01-22,Stony Brook,Albany (NY),,
2016-01-24,Binghamton,Massachusetts-Lowell,,
2016-01-24,New Hampshire,Hartford,,
2016-01-24,Vermont,Maryland-Baltimore County,,
2016-01-25,Stony Brook,Maine,,
2016-01-27,Albany (NY),Massachusetts-Lowell,,
2016-01-27,Binghamton,Maryland-Baltimore County,,
2016-01-27,Maine,Hartford,,
2016-01-27,Vermont,New Hampshire,,
2016-01-30,Albany (NY),Hartford,,
2016-01-30,Maine,Binghamton,,
2016-01-30,New Hampshire,Maryland-Baltimore County,,
2016-01-30,Stony Brook,Vermont,,
2016-02-03,Massachusetts-Lowell,Hartford,,
2016-02-03,Albany (NY),Maryland-Baltimore County,,
2016-02-03,Stony Brook,Binghamton,,
2016-02-03,Vermont,Maine,,
2016-02-06,Albany (NY),Vermont,,
2016-02-06,New Hampshire,Binghamton,,
2016-02-06,Maryland-Baltimore County,Maine,,
2016-02-06,Stony Brook,Massachusetts-Lowell,,
2016-02-08,Albany (NY),Binghamton,,
2016-02-08,Massachusetts-Lowell,Vermont,,
2016-02-08,New Hampshire,Maine,,
2016-02-08,Stony Brook,Hartford,,
2016-02-11,Binghamton,Hartford,,
2016-02-11,Massachusetts-Lowell,Maine,,
2016-02-11,Stony Brook,Maryland-Baltimore County,,
2016-02-11,New Hampshire,Albany (NY),,
2016-02-14,Albany (NY),Maine,,
2016-02-14,Massachusetts-Lowell,Maryland-Baltimore County,,
2016-02-14,Stony Brook,New Hampshire,,
2016-02-14,Vermont,Hartford,,
2016-02-17,Albany (NY),Stony Brook,,
2016-02-17,Hartford,Maryland-Baltimore County,,
2016-02-17,New Hampshire,Massachusetts-Lowell,,
2016-02-17,Vermont,Binghamton,,
2016-02-20,Binghamton,Massachusetts-Lowell,,
2016-02-20,New Hampshire,Hartford,,
2016-02-20,Vermont,Maryland-Baltimore County,,
2016-02-21,Stony Brook,Maine,,
2016-02-24,Hartford,Maine,,
2016-02-24,Maryland-Baltimore County,Binghamton,,
2016-02-24,Albany (NY),Massachusetts-Lowell,,
2016-02-24,Vermont,New Hampshire,,
2016-02-27,Albany (NY),Hartford,,
2016-02-27,Binghamton,Maine,,
2016-02-27,New Hampshire,Maryland-Baltimore County,,
2016-02-27,Vermont,Stony Brook,,
2016-03-02,Hartford,Albany (NY),,
2016-03-02,New Hampshire,Binghamton,,
2016-03-02,Stony Brook,Maryland-Baltimore County,,
2016-03-02,Vermont,Maine,,
2016-03-07,Stony Brook,Hartford,,
2016-03-07,Vermont,New Hampshire,,
2016-03-12,Stony Brook,Vermont,,
2017-01-05,Vermont,Maine,,
2017-01-05,Maryland-Baltimore County,Binghamton,,
2017-01-05,Massachusetts-Lowell,Albany (NY),,
2017-01-05,Stony Brook,New Hampshire,,
2017-01-08,Massachusetts-Lowell,Binghamton,,
2017-01-08,Maryland-Baltimore County,Maine,,
2017-01-08,Stony Brook,Albany (NY),,
2017-01-08,Vermont,Hartford,,
2017-01-11,New Hampshire,Albany (NY),,
2017-01-11,Vermont,Binghamton,,
2017-01-11,Maryland-Baltimore County,Hartford,,
2017-01-11,Maine,Massachusetts-Lowell,,
2017-01-13,Vermont,Maryland-Baltimore County,,
2017-01-14,Stony Brook,Maine,,
2017-01-14,Massachusetts-Lowell,Hartford,,
2017-01-14,New Hampshire,Binghamton,,
2017-01-16,Hartford,Maine,,
2017-01-16,Albany (NY),Maryland-Baltimore County,,
2017-01-16,Stony Brook,Massachusetts-Lowell,,
2017-01-16,Vermont,New Hampshire,,
2017-01-19,Albany (NY),Binghamton,,
2017-01-19,New Hampshire,Maine,,
2017-01-19,Stony Brook,Hartford,,
2017-01-19,Vermont,Massachusetts-Lowell,,
2017-01-22,Albany (NY),Maine,,
2017-01-22,Binghamton,Stony Brook,,
2017-01-22,New Hampshire,Hartford,,
2017-01-22,Maryland-Baltimore County,Massachusetts-Lowell,,
2017-01-25,Vermont,Albany (NY),,
2017-01-25,Binghamton,Hartford,,
2017-01-25,New Hampshire,Massachusetts-Lowell,,
2017-01-25,Stony Brook,Maryland-Baltimore County,,
2017-01-28,Albany (NY),Hartford,,
2017-01-28,Maryland-Baltimore County,New Hampshire,,
2017-01-28,Vermont,Stony Brook,,
2017-01-29,Binghamton,Maine,,
2017-02-01,Albany (NY),Massachusetts-Lowell,,
2017-02-01,Maryland-Baltimore County,Binghamton,,
2017-02-01,Stony Brook,New Hampshire,,
2017-02-01,Vermont,Maine,,
2017-02-04,Stony Brook,Albany (NY),,
2017-02-04,Vermont,Hartford,,
2017-02-04,Maryland-Baltimore County,Maine,,
2017-02-04,Massachusetts-Lowell,Binghamton,,
2017-02-06,Maine,Hartford,,
2017-02-06,Albany (NY),New Hampshire,,
2017-02-06,Stony Brook,Massachusetts-Lowell,,
2017-02-06,Vermont,Binghamton,,
2017-02-09,Albany (NY),Binghamton,,
2017-02-09,Hartford,Maryland-Baltimore County,,
2017-02-09,Massachusetts-Lowell,Maine,,
2017-02-09,Vermont,New Hampshire,,
2017-02-12,New Hampshire,Binghamton,,
2017-02-12,Hartford,Massachusetts-Lowell,,
2017-02-12,Vermont,Maryland-Baltimore County,,
2017-02-12,Stony Brook,Maine,,
2017-02-15,Albany (NY),Maryland-Baltimore County,,
2017-02-15,Stony Brook,Hartford,,
2017-02-15,Vermont,Massachusetts-Lowell,,
2017-02-15,New Hampshire,Maine,,
2017-02-18,Maryland-Baltimore County,Massachusetts-Lowell,,
2017-02-18,New Hampshire,Hartford,,
2017-02-18,Stony Brook,Binghamton,,
2017-02-19,Albany (NY),Maine,,
2017-02-22,Hartford,Binghamton,,
2017-02-22,Maryland-Baltimore County,Stony Brook,,
2017-02-22,New Hampshire,Massachusetts-Lowell,,
2017-02-22,Vermont,Albany (NY),,
2017-02-25,Albany (NY),Hartford,,
2017-02-25,Maine,Binghamton,,
2017-02-25,New Hampshire,Maryland-Baltimore County,,
2017-02-25,Vermont,Stony Brook,,
2017-03-01,Albany (NY),Hartford,,
2017-03-01,New Hampshire,Maryland-Baltimore County,,
2017-03-01,Stony Brook,Binghamton,,
2017-03-01,Vermont,Maine,,
2017-03-06,Albany (NY),Stony Brook,,
2017-03-06,Vermont,New Hampshire,,
2017-03-11,Vermont,Albany (NY),,