,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Boston University,1620,1651,1716,1691,1613,1551,1548,1558,1592,1646,1633,1634,1634,1634,1634,1634
Vermont,1579,1627,1684,1743,1618,1689,1607,1638,1665,1670,1705,1657,1703,1673,1655,1755
Hartford,1532,1553,1482,1378,1436,1422,1500,1378,1377,1409,1436,1479,1516,1458,1403,1355
UMBC,1500,1500,1389,1374,1361,1404,1565,1532,1418,1363,1307,1338,1330,1270,1251,1350
UMass Lowell,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1485,1440,1431,1382
Maine,1496,1485,1560,1525,1483,1451,1352,1319,1431,1446,1422,1398,1348,1279,1267,1249
New Hampshire,1484,1399,1388,1357,1419,1402,1390,1442,1433,1414,1419,1391,1338,1461,1520,1537
Binghamton,1464,1498,1508,1496,1563,1489,1494,1612,1552,1444,1338,1256,1267,1293,1302,1264
Stony Brook,1443,1439,1415,1412,1316,1304,1295,1369,1510,1524,1621,1665,1671,1671,1720,1686
Northeastern,1441,1477,1547,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
Albany,1441,1371,1311,1382,1549,1646,1607,1510,1380,1442,1477,1540,1566,1679,1675,1646
,,,,,,,,,,,,,,,,
,Vermont,Hartford,UMBC,UMass Lowell,Maine,New Hampshire,Binghamton,Stony Brook,Albany,,,,,,,
2002,1579,1532,1500,1500,1496,1484,1464,1443,1441,,,,,,,
2003,1627,1553,1500,1500,1485,1399,1498,1439,1371,,,,,,,
2004,1684,1482,1389,1500,1560,1388,1508,1415,1311,,,,,,,
2005,1743,1378,1374,1500,1525,1357,1496,1412,1382,,,,,,,
2006,1618,1436,1361,1500,1483,1419,1563,1316,1549,,,,,,,
2007,1689,1422,1404,1500,1451,1402,1489,1304,1646,,,,,,,
2008,1607,1500,1565,1500,1352,1390,1494,1295,1607,,,,,,,
2009,1638,1378,1532,1500,1319,1442,1612,1369,1510,,,,,,,
2010,1665,1377,1418,1500,1431,1433,1552,1510,1380,,,,,,,
2011,1670,1409,1363,1500,1446,1414,1444,1524,1442,,,,,,,
2012,1705,1436,1307,1500,1422,1419,1338,1621,1477,,,,,,,
2013,1657,1479,1338,1500,1398,1391,1256,1665,1540,,,,,,,
2014,1703,1516,1330,1485,1348,1338,1267,1671,1566,,,,,,,
2015,1673,1458,1270,1440,1279,1461,1293,1671,1679,,,,,,,
2016,1655,1403,1251,1431,1267,1520,1302,1720,1675,,,,,,,
2017,1755,1355,1350,1382,1249,1537,1264,1686,1646,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,